player_id,progressive_passes,total_passes,progressive_pass_pct,final_third_entries,defensive_actions,defensive_actions_per90,total_onball_events,inaccurate_events,dangerous_losses,inaccurate_rate,dangerous_loss_rate
20418,143,946,0.1511627906976744,61,72.0,3.0125523012552304,1694,366,1,0.2160566706021251,0.0005903187721369
22566,398,1490,0.2671140939597315,169,197.0,7.437080536912752,2420,586,3,0.2421487603305785,0.0012396694214876
8327,131,704,0.1860795454545454,73,59.0,1.758860549850944,1878,561,6,0.2987220447284345,0.0031948881789137
328336,201,981,0.2048929663608562,70,201.0,6.949673453707261,2221,729,2,0.3282305267897343,0.0009004952723998
263433,244,842,0.2897862232779097,75,222.0,9.340813464235625,1727,452,2,0.2617255356108859,0.0011580775911986
328333,210,930,0.2258064516129032,118,120.0,5.882352941176471,1665,415,1,0.2492492492492492,0.0006006006006006
20403,49,225,0.2177777777777777,23,46.0,6.4485981308411215,433,107,1,0.2471131639722864,0.0023094688221709
20571,492,702,0.7008547008547008,3,42.0,1.105263157894737,1291,95,1,0.0735863671572424,0.0007745933384972
3431,562,1582,0.3552465233881163,92,248.0,8.181818181818182,2353,364,7,0.154696132596685,0.0029749256268593
116349,361,1537,0.2348731294729993,198,125.0,5.092802172928927,2294,419,4,0.1826503923278117,0.001743679163034
352993,29,231,0.1255411255411255,15,10.0,1.882845188284519,462,114,1,0.2467532467532467,0.0021645021645021
137048,66,188,0.351063829787234,10,48.0,7.826086956521738,370,100,0,0.2702702702702703,0.0
20816,197,1042,0.1890595009596929,105,139.0,6.208436724565757,1670,410,4,0.2455089820359281,0.0023952095808383
20479,83,599,0.1385642737896494,37,79.0,2.602489019033675,1467,493,0,0.3360599863667348,0.0
20689,150,942,0.1592356687898089,76,94.0,3.807380738073807,2091,621,3,0.296987087517934,0.0014347202295552
20523,23,157,0.1464968152866242,12,16.0,5.475285171102662,310,85,0,0.2741935483870967,0.0
22552,163,269,0.6059479553903345,17,18.0,1.2,586,89,0,0.151877133105802,0.0
21415,175,313,0.5591054313099042,22,41.0,3.28,645,126,1,0.1953488372093023,0.0015503875968992
21959,6,57,0.1052631578947368,2,14.0,4.329896907216495,188,65,1,0.3457446808510638,0.0053191489361702
3736,39,160,0.24375,14,34.0,9.53271028037383,333,85,2,0.2552552552552553,0.006006006006006
22883,230,781,0.29449423815621,80,131.0,8.494236311239193,1285,294,1,0.2287937743190661,0.0007782101167315
349102,66,323,0.2043343653250774,39,44.0,5.0381679389312986,631,145,2,0.2297939778129952,0.0031695721077654
134508,209,892,0.234304932735426,104,109.0,5.12807109252483,1431,305,2,0.2131376659678546,0.0013976240391334
9080,113,718,0.1573816155988858,55,59.0,3.2838589981447126,1351,347,1,0.2568467801628423,0.000740192450037
20748,321,1050,0.3057142857142857,94,235.0,8.671586715867159,1797,408,0,0.2270450751252087,0.0
278813,69,462,0.1493506493506493,29,84.0,5.376955903271693,871,205,1,0.235361653272101,0.0011481056257175
295176,165,744,0.2217741935483871,72,111.0,6.880165289256198,1281,282,2,0.2201405152224824,0.0015612802498048
264084,90,128,0.703125,2,6.0,0.8667736757624398,229,12,0,0.0524017467248908,0.0
105361,201,709,0.2834978843441467,81,114.0,8.162291169451073,1175,271,0,0.2306382978723404,0.0
283832,276,810,0.3407407407407407,113,149.0,7.106518282988872,1305,313,3,0.2398467432950191,0.0022988505747126
20874,14,101,0.1386138613861386,7,10.0,3.8135593220338975,194,59,0,0.3041237113402061,0.0
238832,18,73,0.2465753424657534,6,13.0,6.536312849162011,171,52,0,0.3040935672514619,0.0
368642,13,76,0.1710526315789473,6,12.0,4.0,207,65,0,0.3140096618357488,0.0
21098,281,422,0.6658767772511849,35,49.0,1.9513274336283184,1007,154,0,0.1529294935451837,0.0
288663,283,946,0.2991543340380549,46,235.0,9.791666666666666,1625,337,7,0.2073846153846154,0.0043076923076923
286225,10,70,0.1428571428571428,3,16.0,5.236363636363636,174,50,1,0.2873563218390804,0.0057471264367816
14904,135,647,0.2086553323029366,67,50.0,4.495504495504496,986,179,2,0.1815415821501014,0.0020283975659229
21578,175,534,0.3277153558052434,72,71.0,6.339285714285714,898,209,0,0.232739420935412,0.0
299557,41,222,0.1846846846846846,14,35.0,4.424157303370786,408,94,0,0.230392156862745,0.0
20690,35,204,0.1715686274509804,22,11.0,2.6121372031662267,300,50,0,0.1666666666666666,0.0
21162,201,510,0.3941176470588235,65,130.0,8.125,864,213,0,0.2465277777777778,0.0
134484,44,309,0.1423948220064725,15,29.0,3.2262051915945613,633,184,0,0.2906793048973143,0.0
22158,76,287,0.2648083623693379,36,54.0,8.307692307692308,487,116,1,0.2381930184804928,0.002053388090349
20476,17,139,0.1223021582733813,6,9.0,1.0857908847184985,409,131,0,0.3202933985330073,0.0
16843,541,1444,0.3746537396121883,196,263.0,8.483870967741936,2283,445,1,0.1949189662724485,0.0004380201489268
16025,201,1193,0.1684828164291701,98,35.0,1.282051282051282,2031,536,3,0.2639094042343673,0.001477104874446
15317,98,660,0.1484848484848485,41,74.0,4.128952262864228,1384,394,2,0.2846820809248555,0.0014450867052023
223516,148,429,0.3449883449883449,45,75.0,7.112750263435195,752,190,2,0.2526595744680851,0.0026595744680851
14778,633,1732,0.365473441108545,195,177.0,7.893954410307235,2360,323,2,0.136864406779661,0.0008474576271186
255387,337,910,0.3703296703296703,74,153.0,8.568761667703797,1396,283,4,0.2027220630372493,0.0028653295128939
15139,165,698,0.2363896848137535,70,100.0,4.754358161648177,1345,393,1,0.2921933085501859,0.0007434944237918
19392,41,279,0.1469534050179211,16,32.0,2.3821339950372207,687,206,0,0.2998544395924308,0.0
15024,61,342,0.1783625730994152,31,44.0,4.230769230769231,688,176,1,0.2558139534883721,0.001453488372093
15937,502,1957,0.2565150740929995,272,182.0,7.149716281099956,2835,555,2,0.1957671957671957,0.000705467372134
